RFC status,Topic 1,Topic 2,RFC,Title,Obsoleted by,
Proposed Standard,Namespace,,9476,The .alt Special-Use Top-Level Domain,
Proposed Standard,Servicing,Guidelines/Recommendations,9471,DNS Glue Requirements in Referral Responses,
Proposed Standard,Encrypted DNS,,9464,Internet Key Exchange Protocol Version 2 (IKEv2) Configuration for Encrypted DNS,
Proposed Standard,Encrypted DNS,SRV/SVCB Functionalities,9462,Discovery of Designated Resolvers,
Proposed Standard,SRV/SVCB Functionalities,,9461,Service Binding Mapping for DNS Servers,
Proposed Standard,SRV/SVCB Functionalities,,9460,Service Binding and Parameter Specification via the DNS (SVCB and HTTPS Resource Records),
Informational,DNS Privacy,,9446,Reflections on Ten Years Past the Snowden Revelations,
Proposed Standard,PKI Application,,9444,Automated Certificate Management Environment (ACME) for Subdomains,
Proposed Standard,Zone Transfer/Update,,9432,DNS Catalog Zones,
Best Current Practice,DNSSEC - General Operation,Clarification/Terminology,9364,DNS Security Extensions (DNSSEC),
Informational,Name Registration & Protocols,,9361,ICANN Trademark Clearinghouse (TMCH) Functional Specifications,
Best Current Practice,DNSSEC - Algorithms/Keys,Guidelines/Recommendations,9276,Guidance for NSEC3 Parameter Settings ,
Informational,Threats/Vulnerabilities & Patches,,9267,Common Implementation Anti-Patterns Related to Domain Name System (DNS) Resource Record (RR) Processing,
Proposed Standard,Encrypted DNS,,9250,DNS over Dedicated QUIC Connections,
Proposed Standard,IDNA/Globalization,,9233,Internationalized Domain Names for Applications 2008 (IDNA2008) and Unicode 12.0.0,
Experimental,Encrypted DNS,,9230,Oblivious DNS over HTTPS,
Internet Standard,Name Registration & Protocols,,9224,Finding the Authoritative Registration Data Access Protocol (RDAP) Service,
Best Current Practice,DNS over TCP,Guidelines/Recommendations,9210,DNS Transport over TCP - Operational Requirements,
Informational,Servicing,Guidelines/Recommendations,9199,Considerations for Large Authoritative DNS Server Operators,
Proposed Standard,Name Registration & Protocols,,9167,Registry Maintenance Notification for the Extensible Provisioning Protocol (EPP),
Proposed Standard,DNSSEC - Problem Statement,Clarification/Terminology,9157,Revised IANA Considerations for DNSSEC,
Proposed Standard,DNS Privacy,Servicing,9156,DNS Query Name Minimisation to Improve Privacy,
Proposed Standard,Name Registration & Protocols,,9154,Extensible Provisioning Protocol (EPP) Secure Authorization Information for Transfer,
Informational,Namespace,,9121,"Deprecating Infrastructure ""int"" Domains",
Informational,Reverse DNS,,9120,"Nameservers for the Address and Routing Parameter Area (""arpa"") Domain",
Proposed Standard,New RRs/Codes,,9108,YANG Types for DNS Classes and Resource Record Types,
Proposed Standard,Encrypted DNS,Zone Transfer/Update,9103,DNS Zone Transfer over TLS,
Experimental,DNSSEC - Others,PKI Application,9102,TLS DNSSEC Chain Extension,
Informational,Name Registration & Protocols,,9095,Extensible Provisioning Protocol (EPP) Domain Name Mapping Extension for Strict Bundling Registration,
